"customer_id","first_name","last_name","gender","email","phone_number","street_address","city","state","zip_code","country","signup_date","date_of_birth","loyalty_status","preferred_channel","marketing_opt_in","lifetime_value","returns_rate","customer_status"
"3910830","Sophia","Lee","Male","sophia.lee5711@outlook.com","886-874-4085","5411 Hill Rd","Minneapolis","MN","48669","USA","2023-01-20","1999-08-09","Bronze","SMS","No ","2963.16","0.07","Active"
"7640518","Jacob","Baker","Male","jacob.baker8394@yahoo.com",NULL,"7331 Cherry Ln","Charlotte","NC",NULL,"USA","2025-12-15","1966-07-28","Bronze","Email","Yes","630.62","0.04","Active"
"5641923","Olivia","Williams","Prefer Not To Say","olivia.williams8862@proton.me","295-404-3379","2024 Lincoln Ave","Baltimore","MD","80401","USA","2025-03-17","1954-03-22","Bronze",NULL,"Yes","1691.39",NULL,"Active"
"5936453","Luke","Adams","Male","luke.adams6195@icloud.com","306-205-1056","1922 Hill St","Las Vegas","NV","80975","USA","2019-08-30","1958-12-31","Bronze","Email","No ","1441.67","0.21","Active"
"8628891","Benjamin","Sanchez","Female","benjamin.sanchez2363@proton.me","988-330-4704","746 Cherry Ct","Chicago","IL","82429","USA","2023-04-29","1966-09-20","Bronze","Email","Yes","1040.78","0.18","Active"
"4350371","Sophia","Wright","Female","sophia.wright8905@proton.me",NULL,"1983 Cherry Blvd","Chicago","IL","66190","USA","2020-05-02","1955-06-25","None","SMS","No ","824.71","0.05","Active"
"7948850","Logan","Ramirez","Female","logan.ramirez3568@icloud.com","746-787-4657","7275 Park Ave","San Diego","CA","15469","USA","2024-09-06","1953-06-26","Silver","SMS","Yes",NULL,"0.19","Inactive"
"5928582","Riley","Campbell","Male","riley.campbell3412@outlook.com","660-853-2415","7496 Park Ct","Houston","TX","95644","USA",NULL,"1973-03-27","None","SMS",NULL,NULL,"0.10","Active"
"5970190","Sophia","Garcia","Male","sophia.garcia6339@yahoo.com",NULL,"8911 Elm Pl","Houston","TX","30575","USA",NULL,"1952-05-16","Bronze","SMS","No ","1881.07","0.07","Active"
"7095349","Julian","Ramirez","Female","julian.ramirez9662@icloud.com","663-976-5831","8348 Cherry Way","Fort Worth","TX","90004","USA","2025-07-08","1969-02-10","None","In-Store","No ","1305.68","0.15","VIP"
"8815384","Liam",NULL,"Female","liam.nguyen8738@icloud.com","589-817-2779","1995 2nd Ct","Dallas","TX",NULL,"USA","2021-10-30","1986-09-06","None","Email","Yes","862.52","0.08","Active"
"2232969","Theodore","Lewis","Male","theodore.lewis3206@yahoo.com","646-935-6640","6489 Lincoln Way","Dallas","TX","76903","USA","2020-06-06","1955-08-08","None","In-Store","Yes","588.08",NULL,"Active"
"6614484","Zoey","Hernandez","Male","zoey.hernandez3963@gmail.com","589-223-7572","2786 Hill Rd","Houston","TX","59526","USA",NULL,"1950-03-17","Gold",NULL,"Yes","467.70","0.13","Active"
"9576076","Charlotte","Brown","Female","charlotte.brown2@hotmail.com","625-545-4913","9709 Elm Ln","Orlando","FL","39529","USA",NULL,"1982-06-20","Bronze","Email","Yes","2790.03","0.38",NULL
"7858012","Luna","Ramirez","Female","luna.ramirez6407@hotmail.com","392-814-3041","8344 Cherry Pl","Fort Worth","TX","52854","USA",NULL,"1978-01-03","Gold","SMS",NULL,"685.71","0.08","VIP"
"2561176","Layla","Baker","Male","layla.baker1725@outlook.com","929-635-7751","6287 Cherry Rd","Los Angeles","CA","72424","USA","2024-01-02","1997-03-19","Gold","SMS","Yes","255.58","0.11","Active"
"8746753","Mason","Adams","Female","mason.adams4419@outlook.com","217-785-9726","2784 Lincoln Ave","Austin","TX","89495","USA","2020-01-17","1976-09-27","None","Email","No ","389.60","0.30","Active"
"6294016","Evelyn","Walker","Male","evelyn.walker9914@hotmail.com","615-536-1734","235 Hill Ct","Miami","FL","36400","USA","2019-06-04","2002-10-25","Bronze","SMS","No ","1765.70","0.10","Active"
"1156287","Matthew","Perez","Male","matthew.perez2092@icloud.com","859-638-3223","6724 Washington Way","Charlotte","NC","52907","USA","2024-02-06","1984-01-06",NULL,"Phone","Yes","1251.78","0.11","Active"
"5086407","Leo","Rodriguez","Male","leo.rodriguez7786@yahoo.com","983-648-7493","468 4th Ln","Austin","TX","88026","USA",NULL,"1994-09-06","Gold",NULL,"Yes",NULL,"0.05","Active"
"3247055","Aria","Lee","Female","aria.lee7926@hotmail.com","619-262-6295","5794 2nd Blvd","Charlotte","NC","67928","USA","2023-06-21","1954-11-26","Silver","Email","No ","216.88","0.59","Active"
"4860684","Sophia","Rodriguez","Male","sophia.rodriguez6812@proton.me","823-241-3607","475 Washington Ave","Boston","MA","13824","USA","2021-10-12","1998-07-22","Bronze","SMS","Yes","1744.91","0.10","Active"
"5014745","Carter","Allen","Non-Binary","carter.allen4082@proton.me","334-286-2408","2515 Hill Way","Denver","CO","77308","USA","2021-08-23","1999-08-06","None","App Push","Yes",NULL,"0.10","Churn Risk"
"9240971","Elijah","Rodriguez","Male","elijah.rodriguez7999@yahoo.com","569-247-1321","4089 2nd Pl","Nashville","TN","83289","USA","2021-04-16","2000-02-20","None","Phone","No ","1043.74","0.09","Active"
"2289923","Noah","Young","Male","noah.young9711@icloud.com","534-433-2606","1260 Hill Way","Dallas","TX","38923","USA","2024-04-13","1954-11-16","Bronze","In-Store","No ","408.89","0.45","Active"
"9877065","Julian","Rivera","Female","julian.rivera870@proton.me","852-866-8976","2971 River Dr","Charlotte","NC","58314","USA","2021-05-18","1988-05-26","Platinum","In-Store","Yes","280.10","0.32","Inactive"
"2458591","Leo","Robinson","Female","leo.robinson2324@outlook.com","966-569-8046","5298 Cherry Ct","Los Angeles","CA","44572","USA","2022-07-06","1964-10-20","Platinum","SMS",NULL,"2439.78","0.08","Active"
"8030010","Elijah","Adams","Female","elijah.adams9790@icloud.com","360-902-4977","9676 Sunset Rd","Miami","FL","44682","USA",NULL,"1980-02-27","Gold","App Push","Yes",NULL,"0.27","Inactive"
"8868776","John","Garcia","Female","john.garcia8194@hotmail.com","239-344-7723","6286 3rd St",NULL,"NY","50756","USA","2025-03-11","1961-10-29","None","In-Store","Yes","212.54","0.38","Churn Risk"
"4382135","Zoey","Wright","Female","zoey.wright3052@proton.me","880-569-7392","8691 Oak Ct","Houston","TX","84606","USA","2019-05-06","1965-01-24","None","Email","No ",NULL,"0.19","Churn Risk"
"1409790","Layla","Adams","Male","layla.adams7206@gmail.com","720-275-6085","5395 Ridge Blvd","Columbus","OH","47628","USA","2020-01-05","1995-06-29","Silver","SMS",NULL,"181.16","0.08","Churn Risk"
"6097514","Gabriel","Garcia","Female","gabriel.garcia7734@icloud.com","849-596-5647","1866 Sunset Ct","Jacksonville","FL","37220","USA","2024-07-19","1986-07-29","Silver","Phone","Yes","434.85","0.07","Active"
"3475836","Benjamin","Lewis","Female","benjamin.lewis1782@yahoo.com","902-507-4445","8924 Washington Rd","Houston","TX","61936","USA","2020-10-08","1964-02-05",NULL,"In-Store",NULL,"582.11","0.03","Churn Risk"
