customer_id,first_name,last_name,gender,email,phone_number,street_address,city,state,zip_code,country,signup_date,date_of_birth,loyalty_status,preferred_channel,marketing_opt_in,lifetime_value,returns_rate,customer_status
1006810,  Grace  ,Davis,Male,grace.davis2287@proton.me,(231) 295-4582,4606 Hill Rd,New York,NY,95182,USA,2025-02-10,20-Apr-1990,Bronze,In-Store,Yes,895.49,0.16,Active
1019311,  Avery  ,Perez,Male,avery.perez1520@hotmail.com,1-750-327-7201,3627 Ridge Ave ,Chicago,IL,57401,USA,26-Feb-2021,10-Feb-1954,Bronze,Email,Y,776.75,0.26,Active
1026245,Benjamin,Harris,Male,benjamin.harris5821@yahoo.com ,747-946-5010,6077 washington dr,Chicago,IL,93887,USA,2025-03-31,1979-02-04,Bronze,Email,Y,-413.4,0.22,Active
1028374,Amelia,Torres,Female,amelia.torres6483@proton.me,,5255 Lake Way,Tampa,FL,28132,USA,2024-07-14,03-24-1954,Bronze,,N,287.36,0.02,Active
1036161,Matthew,HARRIS,Male,matthew.harris9065@gmail.com,315.500.8123,7768 cherry ln, Jacksonville,FL,44523,USA,2021-01-01,19-Jul-1959,Silver,App Push,N,291.07,0.03,Active
1043037,SAMUEL,Hernandez,Prefer not to say,samuel.hernandez8006@gmail.com,260-446-2290,  8789 Oak Dr  ,San Jose,CA ,79823,,2020-05-30,22-Aug-1992,Bronze,SMS,N,970.85,0.08,VIP
1044891,Anthony,Wright,Female,anthony.wright6119@hotmail.com ,(803) 767-4770,, Boston,MA,nan,USA,2019/10/04,1979-08-24,Silver,Email,N,372.22,0.14,Active
1047572,  Natalie  ,Torres,Female,natalie.torres3120@gmail.com,(890) 869-2612,4081 5th Ct ,Austin,TX,24323,USA,2021-02-23,1990-04-01,Silver,Email,Y,528.79,0.31,VIP
1059486,Ella,Scott,Male,ella.scott3873@yahoo.com,589-202-7396,8956 Oak Ave,New York,[null],65445,USA,03/26/2025,1993-08-30,Bronze,,Y,207.98,0.14,Inactive
1088100,elijah,Mitchell,Female,Elijah.Mitchell8239@Icloud.Com,(892) 440-7615,921 RIVER WAY,HOUSTON,TX,87925,USA,2025-12-11,13-May-2002,Gold,In-Store,Y,1218.54,0.13,Inactive
1093026,Isabella,Taylor,Prefer not to say,isabella.taylor1189@gmail.com ,719-471-3170,5015 4th Dr,Philadelphia,PA,58435,USA,2020-10-08,26-Sep-1998,Silver,In-Store,Yes,416.33,0.33,Active
1098919,Nora,scott,Female,nora.scott1892@gmail.com,409.903.5325,1797 Elm Ln,Houston,TX,16659,USA,2023/10/01,1953-12-15,Silver,Email,No,670.18,0.06,
1102438,Ella,Scott,,ella.scott1233@proton.me,Null,9289 Oak Ave,Seattle,WA,15230,USA,05/10/2021,,None,In-Store,Y,1373.06,0.25,Inactive
1109031,Theodore,Thomas,Female,theodore.thomas2939@proton.me,474-363-2771,3000 3rd St, Orlando,FL,36159,USA,2022-12-03,1970-06-02,Bronze,Email,Y,365.48,0.12,Churn Risk
1120642,DAVID,Moore,Female,david.moore5426@gmail.com,240.311.8119,8446 2nd Pl,Houston,TX,77034,USA,2023/04/27,01/20/1967,Bronze,Nan,N,248.37,0.03,Churn Risk
1128967,Hazel,Campbell,Male,HAZEL.CAMPBELL1147@PROTON.ME,720.516.7691,3328 Park Ct,Minneapolis,MN,35145,USA,04/02/2023,12-Aug-1965,Gold,SMS,Yes,762.99,0.2,Active
1129686,Amelia,Ramirez,Male,amelia.ramirez7245@proton.me,875-286-5649,5379 4th Way,Nashville,TN,40785,USA,2022-06-25,1967-11-13,Bronze,NAN,N,584.84,0.34,Churn Risk
1131249,James,Robinson,Female,james.robinson8100@hotmail.com,(636) 424-3881,9531 Lake Ct,Philadelphia,PA ,83061,USA,NAN,[null],Gold,SMS,Y,573.24,,Inactive
1135861,Ella,Flores,Female,ella.flores7306@yahoo.com,985.996.9540,8370 3rd Pl,Atlanta,GA,47451,USA,2022-01-17,1998-06-17,NAN,Email,N,504.85,0.21,Inactive
1137194,James,[null],Male,james.clark1021@yahoo.com,(984) 789-7232,8990 4th Ct,Philadelphia,PA,61117,USA,13-Jan-2025,30-Dec-1998,None,SMS,Y,1091.13,0.07,Active
